Iteration,Best Cost Found,
0,0.01131831310809791446717883384910688530312173290135927883041954115393349975243476564570888065475173789309337735176086425781250,
1,0.01589388671327254186426339246262284810029541404219344258308410644531250,
2,0.0202979753334814046661440063925252452747827192069962620735168457031250,
3,0.003315187741509712871687709526314191688101118415943346917629241943359375,
4,0.003141524573904331,
5,0.00396606198120868056589633818756722716457684709954034591540418127785130120369405984891153504889871328487060964107513427734375,
6,0.00972517338960053519004279384286826282135507426573894917964935302734375,
7,0.00490341854008987146934980499879042081801117092254571616649627685546875,
8,0.00777589911200636357210396694352927404736419703112915158271789550781250,
9,0.01328703857725488548145813099924361644355030875885859131813049316406250,
