Iteration,Best Cost Found,
0,0.00354925242043205304162278877970027046728773711947724223136901855468750,
1,0.01011390795346729564727442027594525173442095819645489905830750575664506103280902791358153436362954380456358194351196289062500,
2,0.01196669243769311022097717938409231210221639114002912584294092319531307708335298063684337677159419399686157703399658203125000,
3,0.0245526457286067385961642577279451238325691520003601908683776855468750,
4,0.00366155254530630893977570456779391250279331870842725038528442382812500,
5,0.00553706424327325490892775982650908517257448693271726369857788085937500,
6,0.00477762187314572011561713996723286380027293216554643250809024411041536984671174452705966206877974400413222610950469970703125,
7,0.008519941727113211127238188662263773665017652092501521110534667968750000,
8,0.006140560363644208,
9,0.0371106761670460052726811840270827066393501338555592396981098781510094579076501370568097470936663739848881959915161132812500,
