Iteration,Best Cost Found,
0,0.0251055281471846897726649298700935233079391006012238863116959946084189845189093073796193777980079175904393196105957031250000,
1,0.003846368010771895667151335948149071253254760449635796248912811279296875,
2,0.0176237480223341604096190951759519163541697720346761706349157606316034772429106043493962641122152490424923598766326904296875,
3,0.01378779119243729038547169914391510386280869420416951905321007318462657168473770854730253709874432388460263609886169433593750,
4,0.00503521722828046013418036639166035355004317874038427556374153459534935291316436103276066305056701821740716695785522460937500,
5,0.01145149315489821886385094074486473308833289344980444509144765285086203527194068834196838402306184434564784169197082519531250,
6,0.00853614361532284655669947821201210222952520330574409766478037416788231058638645272138023578634147270349785685539245605468750,
7,0.01829802150158396684373165556811768883704871768713928759098052978515625,
8,0.01578510633896269826556293681192051358802529107211506979924926080654180277690801139506282524394009669777005910873413085937500,
9,0.00354925242043205304162278877970027046728773711947724223136901855468750,
