Iteration,Best Cost Found,
0,0.02999051097735572074387572455897055245799265321693383157253265380859375,
1,0.008119679419192865,
2,0.00638617005859149124496188091525838981254992177127860486507415771484375,
3,0.0277380999744963828568824208455305330261532159415511208483378661918718717623578398807915323942552277003414928913116455078125,
4,0.01115018875975779296660449940741155483436841677757911384105682373046875,
5,0.00460649743731451792423348862543175386008442728780210018157958984375000,
6,0.00512430113740192524695434429610736776032057664815884887966356474005981548109877319642502246921367259346880018711090087890625,
7,0.00282522731824358934440342989669305280015064492631949231947413227487589638229847585106091489848267883644439280033111572265625,
8,0.0168517659882743322228263910255219304445972738903947174549102783203125,
9,0.01169395467651999812279233027554227850545454640447746177938433925019609270880968838503266571393623962649144232273101806640625,
